"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Sep 10 21:54:28 CEST 2022","Sat Sep 10 21:54:28 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToPorscheFinderDeProviderModelsList","Client should have the same set of car models for each make as in PORSCHE_FINDER_DE provider",""
"skipped","Sat Sep 10 21:54:25 CEST 2022","Sat Sep 10 21:54:25 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToAutoscoutChProviderModelsList","Client should have the same set of car models for each make as in AUTOSCOUT_CH provider",""
"skipped","Sat Sep 10 21:54:26 CEST 2022","Sat Sep 10 21:54:26 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToAutotraderProviderModelsList","Client should have the same set of car models for each make as in AUTOTRADER provider",""
"skipped","Sat Sep 10 21:54:27 CEST 2022","Sat Sep 10 21:54:27 CEST 2022","1","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToMobileDeProviderModelsList","Client should have the same set of car models for each make as in MOBILEDEW provider",""
"skipped","Sat Sep 10 21:54:27 CEST 2022","Sat Sep 10 21:54:27 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToLacentraleFrProviderModelsList","Client should have the same set of car models for each make as in LACENTRAL_FR provider",""
"broken","Sat Sep 10 21:54:24 CEST 2022","Sat Sep 10 21:54:24 CEST 2022","1","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","setUp","setUp",""
"skipped","Sat Sep 10 21:54:26 CEST 2022","Sat Sep 10 21:54:26 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToCochesProviderModelsList","Client should have the same set of car models for each make as in COCHES provider",""
"skipped","Sat Sep 10 21:54:27 CEST 2022","Sat Sep 10 21:54:27 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToOtomotoPlProviderModelsList","Client should have the same set of car models for each make as in OTOMOTO provider",""
"skipped","Sat Sep 10 21:54:28 CEST 2022","Sat Sep 10 21:54:28 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToPkwProviderModelsList","Client should have the same set of car models for each make as in PKW provider",""
"skipped","Sat Sep 10 21:54:26 CEST 2022","Sat Sep 10 21:54:26 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToAutoscoutProviderModelsList","Client should have the same set of car models for each make as in AUTOSCOUT provider",""
"skipped","Sat Sep 10 21:54:26 CEST 2022","Sat Sep 10 21:54:26 CEST 2022","0","Cardetective Full Regression suite","Cardetective acceptance tests","de.cardetecktive.app.model.ProviderCarModelsTest","de.cardetecktive.app.model.ProviderCarModelsTest","carModelsShouldBeEqualToHasznaltautoHuProviderModelsList","Client should have the same set of car models for each make as in HASZNALTAUTO provider",""
